anomes,ano,mesnum,mesnome,mesnomeabr,mes_key
Jun/2007,2007,6,Junho,Jun,2007Jun
Jul/2007,2007,7,Julho,Jul,2007Jul
Ago/2007,2007,8,Agosto,Ago,2007Ago
Set/2007,2007,9,Setembro,Set,2007Set
Out/2007,2007,10,Outubro,Out,2007Out
Nov/2007,2007,11,Novembro,Nov,2007Nov
Dez/2007,2007,12,Dezembro,Dez,2007Dez
Jan/2008,2008,1,Janeiro,Jan,2008Jan
Fev/2008,2008,2,Fevereiro,Fev,2008Fev
Mar/2008,2008,3,Março,Mar,2008Mar
Abr/2008,2008,4,Abril,Abr,2008Abr
Mai/2008,2008,5,Maio,Mai,2008Mai
Jun/2008,2008,6,Junho,Jun,2008Jun
Jul/2008,2008,7,Julho,Jul,2008Jul
Ago/2008,2008,8,Agosto,Ago,2008Ago
Set/2008,2008,9,Setembro,Set,2008Set
Out/2008,2008,10,Outubro,Out,2008Out
Nov/2008,2008,11,Novembro,Nov,2008Nov
Dez/2008,2008,12,Dezembro,Dez,2008Dez
Jan/2009,2009,1,Janeiro,Jan,2009Jan
Fev/2009,2009,2,Fevereiro,Fev,2009Fev
Mar/2009,2009,3,Março,Mar,2009Mar
Abr/2009,2009,4,Abril,Abr,2009Abr
Mai/2009,2009,5,Maio,Mai,2009Mai
Jun/2009,2009,6,Junho,Jun,2009Jun
Jul/2009,2009,7,Julho,Jul,2009Jul
Ago/2009,2009,8,Agosto,Ago,2009Ago
Set/2009,2009,9,Setembro,Set,2009Set
Out/2009,2009,10,Outubro,Out,2009Out
Nov/2009,2009,11,Novembro,Nov,2009Nov
Dez/2009,2009,12,Dezembro,Dez,2009Dez
Jan/2010,2010,1,Janeiro,Jan,2010Jan
Fev/2010,2010,2,Fevereiro,Fev,2010Fev
Mar/2010,2010,3,Março,Mar,2010Mar
Abr/2010,2010,4,Abril,Abr,2010Abr
Mai/2010,2010,5,Maio,Mai,2010Mai
Jun/2010,2010,6,Junho,Jun,2010Jun
Jul/2010,2010,7,Julho,Jul,2010Jul
Ago/2010,2010,8,Agosto,Ago,2010Ago
Set/2010,2010,9,Setembro,Set,2010Set
Out/2010,2010,10,Outubro,Out,2010Out
Nov/2010,2010,11,Novembro,Nov,2010Nov
Dez/2010,2010,12,Dezembro,Dez,2010Dez
Jan/2011,2011,1,Janeiro,Jan,2011Jan
Fev/2011,2011,2,Fevereiro,Fev,2011Fev
Mar/2011,2011,3,Março,Mar,2011Mar
Abr/2011,2011,4,Abril,Abr,2011Abr
Mai/2011,2011,5,Maio,Mai,2011Mai
Jun/2011,2011,6,Junho,Jun,2011Jun
Jul/2011,2011,7,Julho,Jul,2011Jul
Ago/2011,2011,8,Agosto,Ago,2011Ago
Set/2011,2011,9,Setembro,Set,2011Set
Out/2011,2011,10,Outubro,Out,2011Out
Nov/2011,2011,11,Novembro,Nov,2011Nov
Dez/2011,2011,12,Dezembro,Dez,2011Dez
Jan/2012,2012,1,Janeiro,Jan,2012Jan
Fev/2012,2012,2,Fevereiro,Fev,2012Fev
Mar/2012,2012,3,Março,Mar,2012Mar
Abr/2012,2012,4,Abril,Abr,2012Abr
Mai/2012,2012,5,Maio,Mai,2012Mai
Jun/2012,2012,6,Junho,Jun,2012Jun
Jul/2012,2012,7,Julho,Jul,2012Jul
Ago/2012,2012,8,Agosto,Ago,2012Ago
Set/2012,2012,9,Setembro,Set,2012Set
Out/2012,2012,10,Outubro,Out,2012Out
Nov/2012,2012,11,Novembro,Nov,2012Nov
Dez/2012,2012,12,Dezembro,Dez,2012Dez
Jan/2013,2013,1,Janeiro,Jan,2013Jan
Fev/2013,2013,2,Fevereiro,Fev,2013Fev
Mar/2013,2013,3,Março,Mar,2013Mar
Abr/2013,2013,4,Abril,Abr,2013Abr
Mai/2013,2013,5,Maio,Mai,2013Mai
Jun/2013,2013,6,Junho,Jun,2013Jun
Jul/2013,2013,7,Julho,Jul,2013Jul
Ago/2013,2013,8,Agosto,Ago,2013Ago
